Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1,5,3,65.0,8450,1,1,3,3,4,0,5,2,2,0,5,7,4,2003,2003,1,1,12,13,1,128,2,4,2,2,4,3,2,706,6,0,150,856,1,0,1,0,856,854,0,1710,1,0,2,1,3,1,2,8,6,0,3,1,2003.0,2,2,548,5,5,2,0,61,0,0,0,0,3,4,1,0,1,2,8,4,12.247699116372562
2,0,3,80.0,9600,1,1,3,3,2,0,24,1,2,0,2,6,7,1976,1976,1,1,8,8,2,0,3,4,1,2,4,1,0,978,6,0,284,1262,1,0,1,0,1262,0,0,1262,0,1,2,0,3,1,3,6,6,1,5,1,1976.0,2,2,460,5,5,2,298,0,0,0,0,0,3,4,1,0,4,1,8,4,12.109016442313738
3,5,3,68.0,11250,1,1,0,3,4,0,5,2,2,0,5,7,4,2001,2002,1,1,12,13,1,104,2,4,2,2,4,2,2,486,6,0,434,920,1,0,1,0,920,866,0,1786,1,0,2,1,3,1,2,6,6,1,5,1,2001.0,2,2,608,5,5,2,0,42,0,0,0,0,3,4,1,0,8,2,8,4,12.317171167298682
4,6,3,60.0,9550,1,1,0,3,0,0,6,2,2,0,5,7,4,1915,1970,1,1,13,15,2,0,3,4,0,4,1,3,0,216,6,0,540,756,1,2,1,0,961,756,0,1717,1,0,1,0,3,1,2,7,6,1,2,5,1998.0,3,3,642,5,5,2,0,35,272,0,0,0,3,4,1,0,1,0,8,0,11.849404844423075
5,5,3,84.0,14260,1,1,0,3,2,0,15,2,2,0,5,8,4,2000,2000,1,1,12,13,1,221,2,4,2,2,4,0,2,655,6,0,490,1145,1,0,1,0,1145,1053,0,2198,1,0,2,1,4,1,2,9,6,1,5,1,2000.0,2,3,836,5,5,2,192,84,0,0,0,0,3,4,1,0,11,2,8,4,12.429220196836386
6,4,3,85.0,14115,1,1,0,3,4,0,11,2,2,0,0,5,4,1993,1995,1,1,12,13,2,0,3,4,5,2,4,3,2,732,6,0,64,796,1,0,1,0,796,566,0,1362,1,0,1,1,1,1,3,5,6,0,3,1,1993.0,3,2,480,5,5,2,40,30,0,320,0,0,3,2,3,700,9,3,8,4,11.870606902224589
7,0,3,75.0,10084,1,1,3,3,4,0,21,2,2,0,2,8,4,2004,2005,1,1,12,13,3,123,2,4,2,0,4,0,2,1369,6,0,317,1686,1,0,1,0,1694,0,0,1694,1,0,2,0,3,1,2,7,6,1,2,1,2004.0,2,2,636,5,5,2,255,57,0,0,0,0,3,4,1,0,7,1,8,4,12.63460628389302
8,5,3,80.0,10382,1,1,0,3,0,0,14,4,2,0,5,7,5,1973,1973,1,1,6,6,3,157,3,4,1,2,4,2,0,859,1,32,216,1107,1,0,1,0,1107,983,0,2090,1,0,2,1,3,1,3,7,6,2,5,1,1973.0,2,2,484,5,5,2,235,204,228,0,0,0,3,4,3,350,10,3,8,4,12.206077645517675
9,4,4,51.0,6120,1,1,3,3,4,0,17,0,2,0,0,7,4,1931,1950,1,1,3,15,2,0,3,4,0,4,4,3,6,0,6,0,952,952,1,2,1,0,1022,752,0,1774,0,0,2,0,2,2,3,8,2,2,5,5,1931.0,3,2,468,1,5,2,90,0,205,0,0,0,3,4,1,0,3,2,8,0,11.774527900858466
10,14,3,50.0,7420,1,1,3,3,0,0,3,0,0,1,1,5,5,1939,1950,1,1,8,8,2,0,3,4,0,4,4,3,2,851,6,0,140,991,1,0,1,0,1077,0,0,1077,1,0,1,0,2,2,3,5,6,2,5,1,1939.0,2,1,205,2,5,2,0,4,0,0,0,0,3,4,1,0,0,2,8,4,11.678448377988165
11,0,3,70.0,11200,1,1,3,3,4,0,19,2,2,0,2,5,4,1965,1965,3,1,6,6,2,0,3,4,1,4,4,3,5,906,6,0,134,1040,1,0,1,0,1040,0,0,1040,1,0,1,0,3,1,3,5,6,0,3,5,1965.0,3,1,384,5,5,2,0,0,0,0,0,0,3,4,1,0,1,2,8,4,11.771443882099636
12,5,3,85.0,11924,1,1,0,3,4,0,16,2,2,0,5,9,4,2005,2006,3,1,14,15,3,186,0,4,2,0,4,3,2,998,6,0,177,1175,1,0,1,0,1182,1142,0,2324,1,0,3,0,4,1,0,11,6,2,2,3,2005.0,0,3,736,5,5,2,147,21,0,0,0,0,3,4,1,0,6,0,6,5,12.75130259456002
13,0,3,71.0,12968,1,1,1,3,4,0,19,2,2,0,2,5,5,1962,1962,3,1,6,10,2,0,3,4,1,4,4,3,0,737,6,0,175,912,1,4,1,0,912,0,0,912,1,0,1,0,2,1,3,4,6,0,3,5,1962.0,3,1,352,5,5,2,140,0,0,0,176,0,3,4,1,0,8,2,8,4,11.87757552297847
14,0,3,91.0,10652,1,1,0,3,4,0,5,2,2,0,2,7,4,2006,2007,1,1,12,13,3,203,2,4,2,2,4,0,6,0,6,0,1494,1494,1,0,1,0,1494,0,0,1494,0,0,2,0,3,1,2,7,6,1,2,1,2006.0,2,3,840,5,5,2,160,33,0,0,0,0,3,4,1,0,7,1,6,5,12.540761149388421
